epoch,train_loss,val_loss,train_auc,val_auc
1,0.689,0.682,0.589,0.575
2,0.654,0.647,0.641,0.628
3,0.623,0.618,0.692,0.676
4,0.598,0.594,0.731,0.714
5,0.578,0.577,0.758,0.741
6,0.561,0.564,0.778,0.759
7,0.548,0.556,0.794,0.771
8,0.538,0.548,0.807,0.78
9,0.529,0.543,0.816,0.786
10,0.521,0.539,0.822,0.791
11,0.515,0.537,0.827,0.795
12,0.509,0.536,0.831,0.798
13,0.503,0.535,0.835,0.8
14,0.499,0.536,0.838,0.799
15,0.495,0.537,0.84,0.798
16,0.492,0.538,0.841,0.797
17,0.49,0.54,0.842,0.796
18,0.489,0.542,0.843,0.794
